State,2016 rate,Rank
United States,4.9,
New Hampshire,2.9,1
Hawaii,3,2
South Dakota,3,2
Nebraska,3.1,4
North Dakota,3.1,4
Vermont,3.2,6
Colorado,3.3,7
Utah,3.4,8
Iowa,3.6,9
Idaho,3.8,10
Maine,3.8,10
Massachusetts,3.9,12
Minnesota,3.9,12
Arkansas,4,14
Kansas,4,14
Wisconsin,4,14
Montana,4.1,17
Virginia,4.1,17
Indiana,4.4,19
Delaware,4.5,20
Maryland,4.5,20
Missouri,4.6,22
Texas,4.6,22
Tennessee,4.7,24
Florida,4.8,25
Oklahoma,4.8,25
Oregon,4.8,25
New York,4.9,28
Michigan,5,29
New Jersey,5,29
Ohio,5,29
South Carolina,5,29
Connecticut,5.1,33
Kentucky,5.1,33
North Carolina,5.1,33
Rhode Island,5.2,36
Washington,5.3,37
Wyoming,5.3,37
Arizona,5.4,39
Georgia,5.4,39
Pennsylvania,5.4,39
California,5.5,42
Nevada,5.7,43
Alabama,5.8,44
Illinois,5.8,44
Mississippi,5.8,44
District of Columbia,6.1,47
Louisiana,6.1,47
West Virginia,6.1,47
New Mexico,6.6,50
Alaska,6.9,51
